issues_title,issues_created_at,issues_thread_id,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2022-12-27T04:19:06Z,1511417351,1365601221.0,reply,@shmpwk Could you tell me the right branch we should use for Humble?,kenji-miyake,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2022-12-27T05:17:42Z,1511417351,1365619592.0,reply,"@anilbommareddy 
Currently, the official support for AWSIM is only ROS2 Galactic, Ubuntu20.04.

For Ubuntu 22.04, try work in progress version which includes our individual repos but will be officially supported soon:
Autoware: https://github.com/shmpwk/autoware/tree/humble-awsim-stable
AWSIM: https://github.com/tier4/AWSIM/tree/humble

Try the following command
```
git clone https://github.com/shmpwk/autoware/
cd autoware
git checkout humble-awsim-stable
./setup-dev-env.sh  #*/enter Y and install cuda-Y.
mkdir src
vcs import src < autoware.repos
source /opt/ros/humble/setup.bash
rosdep update
rosdep install -y --from-paths src --ignore-src --rosdistro $ROS_DISTRO
colcon build --symlink-install --cmake-args -DCMAKE_BUILD_TYPE=Release -DCMAKE_CXX_FLAGS=""-w""
source install/setup.bash
ros2 launch autoware_launch e2e_simulator.launch.xml vehicle_model:=sample_vehicle sensor_model:=awsim_sensor_kit map_path:=<your mapfile location>
```

Note that when launching AWSIM, you need its binary. But currently we have only Galactic version of binary.
You have to create AWSIM binary for Humble by yourself from https://github.com/tier4/AWSIM/tree/humble.",shmpwk,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T04:51:38Z,1511417351,1370485493.0,reply,"hii @shmpwk 
Shall we install autoware for AWSIM in ubuntu 22.04 by your above steps.",patelabhay-12,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T04:57:38Z,1511417351,1370488050.0,reply,"@patelabhay-12 
Still the above step is not official but now should work correctly in Ubuntu 22.04 from the success of my several co-workers  attempts.",shmpwk,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T05:03:21Z,1511417351,1370491224.0,reply,"
![Screenshot from 2023-01-04 10-30-12](https://user-images.githubusercontent.com/89857716/210487834-a489a689-053f-46bb-9f49-1f8e386ef9c9.png)
okay, But I got the error when giving the below command-
colcon build --symlink-install --cmake-args -DCMAKE_BUILD_TYPE=Release -DCMAKE_CXX_FLAGS=""-w""
",patelabhay-12,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T05:12:27Z,1511417351,1370497145.0,reply,"@patelabhay-12 
Let me check several points
- Did you succeeded following without any error:  `./setup-dev-env.sh`, `vcs import src < autoware.repos`, `rosdep update`, `rosdep install -y --from-paths src --ignore-src --rosdistro $ROS_DISTRO` ?
- Have you built the other Autoware branch under your `~/autoware` folder?",shmpwk,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T05:14:41Z,1511417351,1370498301.0,reply,I firstly doubted [this issue](https://github.com/autowarefoundation/autoware/issues/3119) but it seems you have different error :thinking: ,shmpwk,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T05:25:02Z,1511417351,1370502799.0,reply,"> @patelabhay-12 Let me check several points
> 
>     * Did you succeeded following without any error:  `./setup-dev-env.sh`, `vcs import src < autoware.repos`, `rosdep update`, `rosdep install -y --from-paths src --ignore-src --rosdistro $ROS_DISTRO` ?
> 
>     * Have you built the other Autoware branch under your `~/autoware` folder?

yes I succeeded in following without any error.

Yes, I built the other Autoware branch under our ~/autoware folder
![image](https://user-images.githubusercontent.com/89857716/210490133-51c72c01-2700-4c10-871f-75c812d3afc7.png)
",patelabhay-12,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T05:28:15Z,1511417351,1370504137.0,reply,"> Yes, I built the other Autoware branch under your ~/autoware folder

In that case you might mixed the previous build cache. Could you once `rm build install log  -f` under `~/autoware` ? and colcon build again?",shmpwk,1392336.0,297.0,30,0,0,0,0
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,2023-01-04T05:37:21Z,1511417351,1370507853.0,reply,"> > Yes, I built the other Autoware branch under your ~/autoware folder
> 
> In that case you might mixed the previous build cache. Could you once `rm build install log` under `~/autoware` ? and colcon build again?

Did the same, & getting error again
![Screenshot from 2023-01-04 11-06-12](https://user-images.githubusercontent.com/89857716/210491017-f1e704da-0d27-4ec3-81ea-c9142e68da13.png)
",patelabhay-12,1392336.0,297.0,30,0,0,0,0
