issues_title,issues_created_at,issues_thread_id,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
Update rect_class_score.h,2019-03-18T05:25:16Z,394671891,473774241,answered,@LukeAI Can this be updated so CI works and merged?,gbiggs,6953295.0,6872438.0,5,2,0,1,2
Update rect_class_score.h,2019-03-18T11:35:55Z,394671891,473874743,questioned,@gbiggs I'm not sure what you mean? :),LukeAI,6953295.0,6872438.0,5,2,0,1,2
Update rect_class_score.h,2019-03-18T11:42:17Z,394671891,473876518,answered,The Travis build fails. We prefer not to merge PRs that fail CI.,gbiggs,6953295.0,6872438.0,5,2,0,1,2
Update rect_class_score.h,2019-03-18T11:55:59Z,394671891,473880185,questioned,"Ok, I see what you mean - was this building fine before my typo-fix PR?? I just changed a single character inside of a string.",LukeAI,6953295.0,6872438.0,5,2,0,1,2
Update rect_class_score.h,2019-03-19T03:52:31Z,394671891,474188493,answered,"I assume it wasn't, and looking at the details it appears to be cross compiling stuff that is failing. I'm going to merge this since it's a typo and on top of that I don't think autonomous cars will spend much time recognising ovens.",gbiggs,6953295.0,6872438.0,5,2,0,1,2
feature/ndt_matching_disk_full,2018-12-28T07:04:08Z,394564673,,,,YamatoAndo,,,0,2,0,3,70
Cleanup WaypointState.msg and add steering_state=STR_BACK,2018-12-28T03:52:47Z,394540430,,,,kfunaoka,,,0,1,0,4,43
Make VectorMap::hasSubscribed public,2018-12-28T03:33:57Z,394538146,,,,kfunaoka,,,0,1,0,1,3
Delete lampValue from sending data in vehicle_sender,2018-12-28T01:41:02Z,394522928,450269726,questioned,This should not be changed. I'll revert it in #1609.,kfunaoka,988.0,981.0,1,1,0,1,3
Refactor OpenPlanner code following ROS C++ code style ,2019-01-04T17:32:55Z,394369565,451512253,answered,"@hatem-darweesh this looks great, thanks for taking the time to flesh out the code. Did you use `clang-format`? Dave Coleman put up this `clang-format` configuration file that matches the ROS1 C++ code style:

https://github.com/davetcoleman/roscpp_code_format

In addition to that, ROS2 also has a configuration file for `uncrustify` with the ROS2 code style (the ROS1 code style guide will eventually converge with ROS2's):

https://github.com/ament/ament_lint/blob/master/ament_uncrustify/ament_uncrustify/configuration/ament_code_style.cfg

I'm working on integrating ROS2's build system (ament) with Autoware, which will bring automatic code style checking (in addition to other stuff), you can have a look at it at:

https://github.com/esteve/Autoware/tree/feature/use_ament_vector_map

ament supersedes catkin and does not require ROS2, so we can use it with Autoware and ROS1.

Adding automatic code checking and generating a test report is as simple as adding these two lines:

https://github.com/esteve/Autoware/commit/849e1261cd4678de5407085d68cc2b380103e04b#diff-d47e2c80dcb7a36bc8d73ffcb44993bdR57",esteve,6458423.0,713325.0,4,2,0,61,6900
Refactor OpenPlanner code following ROS C++ code style ,2019-01-08T17:56:24Z,394369565,452392260,questioned,"@esteve Thank you for the information. 
yes, I used clang format. as explained in #1771 

That would be great for new code , what about the existing one? should I stop refactoring OpenPlanner? 
I am looking forward to use ROS2 with Autoware. 

do you recommend to use ROS2 code style from now ? 
what is the difference between using ""ament"" and ""colcon"" as build tools ? 

",hatem-darweesh,6458423.0,713325.0,4,2,0,61,6900
